GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BankBranchManagement,org.example.exception,DataException,4,5,0,0,2,2,1,1,1,1
BankBranchManagement,org.example.model,BranchUpdate,9,17,0,0,4,7,1,5,1,5
BankBranchManagement,org.example.model,Employee,0,46,0,0,0,19,0,10,0,10
BankBranchManagement,org.example.model,EmployeeUpdate,9,17,0,0,4,7,1,5,1,5
BankBranchManagement,org.example.model,Branch,6,76,0,0,3,32,1,16,1,16
BankBranchManagement,org.example.model,User,0,24,0,0,0,11,0,7,0,7
BankBranchManagement,org.example.filter,LoggingFilter,18,0,0,0,6,0,3,0,3,0
BankBranchManagement,org.example.filter,LoginFilter,75,0,8,0,24,0,6,0,2,0
BankBranchManagement,org.example.config,DBConnection,7,49,0,0,2,12,0,2,0,2
BankBranchManagement,org.example.config,Hashing,0,9,0,0,0,2,0,2,0,2
BankBranchManagement,org.example.config,JwtGeneration,58,8,4,0,15,2,7,1,5,1
BankBranchManagement,org.example.service,EmployeeService,0,29,0,0,0,8,0,5,0,5
BankBranchManagement,org.example.service,UserService,5,35,2,2,2,11,2,3,0,3
BankBranchManagement,org.example.service,BranchService,0,28,0,0,0,9,0,5,0,5
BankBranchManagement,org.example.servlet,LoginServlet,10,67,0,0,3,18,0,4,0,4
BankBranchManagement,org.example.servlet,BranchServlet,8,132,0,0,3,40,0,6,0,6
BankBranchManagement,org.example.servlet,EmployeeServlet,32,101,0,0,10,31,1,5,1,5
BankBranchManagement,org.example.dao,EmployeeDAO,32,168,2,6,8,47,2,9,0,7
BankBranchManagement,org.example.dao,BranchDAO,38,194,3,5,9,52,3,8,0,7
BankBranchManagement,org.example.dao,UserDAO,18,66,3,3,4,18,3,4,0,4
